,timestamp,tweet_text,username,all_hashtags,followers_count
37,2021-04-22 10:17:05,b'How to tell Alexa to delete what you say https://t.co/blG8ZyFejp #Securityprivacy #Technology #Amazon #AmazonAlexa #AmazonEchoDot https://t.co/wOuItCfELJ',b'ProDIYWebsites',"['Securityprivacy', 'Technology', 'Amazon', 'AmazonAlexa', 'AmazonEchoDot']",15
38,2021-04-22 08:34:01,b'The Amazon Fire TV Cube has a Hexa-core processor Quad-core at up to 2.2GHz + Dual-core at up to 1.9GHz coupled with 2GB RAM  #Amazon #AmazonAlexa #FireTVCube #Mashable #Digpu #News  https://t.co/TlqgF2zurS',b'DigpuNews',"['Amazon', 'AmazonAlexa', 'FireTVCube', 'Mashable', 'Digpu', 'News']",395
39,2021-04-22 07:59:39,b'Check if your garage door or gate is compatible with ismartgate now: https://t.co/hfAlrzDIzF  #AmazonAlexa #cargarage #smarthome #smartgarage #diy #homekit #technology #ifttt #iot #smartlock #AppleSiri https://t.co/XhE7jxNLYY',b'ismartgate_ww',"['AmazonAlexa', 'cargarage', 'smarthome', 'smartgarage', 'diy', 'homekit', 'technology', 'ifttt', 'iot', 'smartlock', 'AppleSiri']",161
40,2021-04-22 07:59:13,b'Check if your garage door or gate is compatible with ismartgate now: https://t.co/UzZgd3gzVK  #AmazonAlexa #cargarage #smarthome #smartgarage #diy #homekit #technology #ifttt #iot #smartlock #AppleSiri https://t.co/BUWru4pHeO',b'Gogogate',"['AmazonAlexa', 'cargarage', 'smarthome', 'smartgarage', 'diy', 'homekit', 'technology', 'ifttt', 'iot', 'smartlock', 'AppleSiri']",763
41,2021-04-22 03:50:52,b'@amazon @amazonmusic @amazonIN #Alexa is Gujrathi ! #AmazonAlexa https://t.co/NbRIlMu0EQ',b'rachitsays',"['Alexa', 'AmazonAlexa']",317
42,2021-04-22 00:05:55,"b'Whoever wants to be free, therefore, let him not want or avoid anything that is up to others. Otherwise he will necessarily be a slave. -Epictetus  #amazonalexa #Anger #antique #business #Discipline #GrowthMindset #Knowledge #KnowledgeIsPower #leadershi  https://t.co/oVwGDBVxEU https://t.co/n5uWTynMFt'",b'EveryDayStoics',"['amazonalexa', 'Anger', 'antique', 'business', 'Discipline', 'GrowthMindset', 'Knowledge', 'KnowledgeIsPower', 'leadershi']",251
43,2021-04-21 23:50:00,b'Now Streaming On Alexa Skill!  We are now streaming on Android Apple and Alexa! Licensed through BMI! #pledgeallegiancetoyourself #forusbyus #blackowned #hoodcertified #cantstopwontstop #innergradio #androidapp #isoapp #amazonalexa #bmilicensed https://t.co/qQw0u7nrg4',b'innergradio',"['pledgeallegiancetoyourself', 'forusbyus', 'blackowned', 'hoodcertified', 'cantstopwontstop', 'innergradio', 'androidapp', 'isoapp', 'amazonalexa', 'bmilicensed']",295
44,2021-04-21 21:54:58,b'@EdinIlmic Thank you :\xe2\x80\x99)',b'amazonalexa_',[],638
45,2021-04-21 20:34:01,b'@amazonalexa_ DUDE congrats!!! You got this!!',b'EdinIlmic',[],414
46,2021-04-21 19:03:18,b'@saint__paddy_ Thank you \xf0\x9f\xa5\xba',b'amazonalexa_',[],638
47,2021-04-21 19:00:34,b'@amazonalexa_ good luck!!!',b'saint__paddy_',[],462
48,2021-04-21 18:41:28,"b'@amazonalexa_ Understandable! I\xe2\x80\x99m trying to break through that part of myself as well, but don\xe2\x80\x99t miss out on a great opportunity because of fear! You\xe2\x80\x99ll be perfect!'",b'PTurnpaugh',[],752
49,2021-04-21 18:40:05,b'@PTurnpaugh I am very excited but I just get so anxious for interviews \xf0\x9f\x98\x82',b'amazonalexa_',[],638
50,2021-04-21 18:22:16,b'@amazonalexa_ Yay! This is sooo exciting!',b'PTurnpaugh',[],752
51,2021-04-21 16:25:05,b'@Kyleekc7 Thank you!',b'amazonalexa_',[],638
52,2021-04-21 16:24:48,b'@scade43 Thank you \xe2\x9d\xa4\xef\xb8\x8f',b'amazonalexa_',[],638
53,2021-04-21 16:16:38,b'@amazonalexa_ You\xe2\x80\x99ll do great!!',b'Kyleekc7',[],159
54,2021-04-21 15:24:28,b'I have an interview tomorrow for a position that could potentially be my very first job in my actual career path and I am so nervous \xf0\x9f\x98\x85',b'amazonalexa_',[],638
55,2021-04-21 11:53:01,b'I just asked #amazonalexa what time rain was forecast and she said rain \xe2\x80\x98is not a budget\xe2\x80\x99.  Interesting.',b'Lewishamdreamer',['amazonalexa'],2021
